时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,symbol,date,turnover,settle,pre_settle,variety
2014-08-11,5892.0,5898.0,5744.0,5804.0,74408,15554,,,,5804.0,5804.0,5804.0,5804.0,5804.0,154.0,0.0,0.0,0.0,0.0,5804.0,5804.0,5804.0,0.0,38.96103896103896,38.96103896103896,38.961038961038966,-61.03896103896104,0.0,0.0,74408.0,0,15554.0,0.0,0.0,,,,,,
2014-08-12,5768.0,5882.0,5768.0,5832.0,53478,16829,,,,5818.0,5818.0,5818.0,5818.0,5806.666666666667,134.0,99.99999999928572,2.233618233618472,0.4467236467236944,1.7868945868947776,5857.597979746447,5778.402020253553,5818.0,79.19595949289396,45.021645021645014,40.98124098124097,53.1024531024531,-42.857142857142854,35.35533905932738,100.0,63943.0,53478,16191.5,1275.0,8.19724829625821,,,,,,
2014-08-13,5810.0,5956.0,5808.0,5912.0,116906,23294,,,,5849.333333333333,5849.333333333333,5849.333333333333,5849.333333333333,5816.698412698413,138.66666666666666,99.99999999972222,10.3399160721101,2.4253621318009757,7.9145539403091245,5961.42853097058,5737.238135696086,5849.333333333333,224.19039527449422,56.429524354052646,46.1306687721782,77.02723551780153,-20.754716981132077,57.120659094463385,100.0,81597.33333333333,170384,18559.0,6465.0,38.41582981757681,,,,,,
2014-08-14,5920.0,5946.0,5880.0,5926.0,59664,23305,,,,5868.5,5868.5,5868.5,5868.5,5827.108087679517,120.5,99.99999999967213,17.689979437628608,5.478285592966502,12.211693844662106,5987.8929087788165,5749.1070912211835,5868.5,238.78581755763298,66.23603510395962,52.83245754943867,93.04319021300151,-14.150943396226415,54.932309294235644,99.9999999999499,76114.0,230048,19745.5,11.0,0.04722246071950931,,,,,,
2014-08-15,5918.0,5936.0,5710.0,5740.0,71354,17702,,,,5842.8,5842.8,5842.8,5842.8,5818.812079329087,141.6,39.6103896103896,8.409374046650555,6.064503283703313,2.3448707629472425,5997.398835700662,5688.201164299338,5842.8,309.19767140132353,48.22239738637959,51.29577082841898,42.07565050230082,-87.8048780487805,-51.61327401731161,39.61038961049963,75162.0,158694,19336.8,-5603.0,-24.042051062003868,,,,,,
2014-08-18,5740.0,5780.0,5730.0,5774.0,31973,16749,,,,5836.8,5831.333333333333,5831.333333333333,5831.333333333333,5814.544262250127,126.33333333333333,45.6140350877193,3.754661856606617,5.602534998283974,-1.8478731416773568,5980.585692331999,5682.080974334667,5831.333333333333,298.5047179973317,40.82035164512027,47.80396443398608,26.853126067388644,-73.98373983739837,-62.119363360979285,45.61403508784601,67963.83333333333,190667,18905.5,-953.0,-5.383572477686139,,,,,,
2014-08-19,5776.0,5796.0,5730.0,5748.0,24220,16867,,,,5820.0,5819.428571428572,5819.428571428572,5819.428571428572,5808.2067134644,117.71428571428571,42.391304347826086,-2.0090546667215676,4.080217065282866,-6.089271732004434,5969.5345657253,5669.322577131843,5819.428571428572,300.21198859345714,32.36261925392842,42.656849373966864,11.774159013851545,-84.55284552845528,-53.702270026525774,42.391304347943844,61714.71428571428,166447,18614.285714285714,118.0,0.7045196728162839,,,,,,
2014-08-20,5740.0,5780.0,5690.0,5776.0,19837,16167,,,,5792.8,5814.0,5814.0,5814.0,5805.139407420173,114.25,46.464646464646464,-4.268273542073985,2.4105189438114962,-6.678792485885481,5956.323574997258,5671.676425002742,5814.0,284.64714999451644,32.35202185850868,39.22190686881414,18.61225183789776,-67.66917293233082,-52.482225413877984,46.464646464775534,56480.0,186284,18308.375,-700.0,-4.150115610363436,,,,,,
2014-08-21,5778.0,5778.0,5514.0,5730.0,23794,16771,,,,5753.6,5804.666666666667,5804.666666666667,5804.666666666667,5797.983273380156,130.88888888888889,41.6289592760181,-9.659191196072243,-0.003423084165251611,-9.65576811190699,5949.0965804657135,5660.23675286762,5804.666666666667,288.85982759809303,37.85760733252011,38.767140356716126,36.03854128412809,-51.13122171945702,-83.21663460194053,41.62895927613374,52848.22222222222,162490,18137.555555555555,604.0,3.7360054431867296,,,,,,
2014-08-22,5746.0,5778.0,5722.0,5742.0,7799,16519,,,,5754.0,5798.4,5798.4,5798.4,5792.651533058237,123.4,43.17180616740088,-12.815503418481057,-2.565839151028413,-10.249664267452644,5940.220543880873,5656.579456119126,5798.4,283.64108776174726,42.432975024093345,39.98908524584186,47.320754580596315,-48.41628959276018,-31.929817979502033,43.171806167520806,48343.3,170289,17975.7,-252.0,-1.5025937630433472,,,,,,
2014-08-25,5736.0,5754.0,5706.0,5716.0,13909,16756,,,,5742.4,5789.6,5790.909090909091,5790.909090909091,5785.35138705269,116.54545454545455,40.833333333333336,-17.216426060897902,-5.49595653300231,-11.720469527895592,5934.334205991366,5647.483975826816,5790.909090909091,286.85023016454943,43.52243583808335,41.16686877658903,48.23356996107199,-54.29864253393665,-43.230326767615445,40.83333333344676,45212.90909090909,156380,17864.81818181818,237.0,1.434711544282341,,,,,,
