时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2007-08-01,12580.0,12580.0,12580.0,12580.0,12580.0,465.0,0.0,0.0,0.0,0.0,12580.0,12580.0,12580.0,0.0,31.182795698924732,31.182795698924732,31.18279569892473,-68.81720430107526,0.0,0.0,18165.0,0,0.0,0.0,0.0,
2007-08-02,12515.0,12515.0,12515.0,12515.0,12567.619047619048,362.5,0.0,-10.370370370370438,-2.0740740740740877,-8.296296296296351,12698.847763108502,12331.152236891498,12515.0,367.69552621700495,24.710099093400803,29.025230163750088,16.079836952702237,-88.23529411764706,-35.35533905932738,0.0,10848.0,-3531,0.0,0.0,0.0,
2007-08-03,12496.666666666666,12496.666666666666,12496.666666666666,12496.666666666666,12557.36961451247,305.0,7.142857142857139,-17.57940276458976,-5.175139812177222,-12.404262952412537,12641.35022942807,12351.983103905262,12496.666666666666,289.3671255228073,25.362288284489424,27.804249537329866,20.478365778808538,-73.33333333333333,-44.7893587623085,100.0,8333.666666666666,-226,0.0,0.0,0.0,
2007-08-06,12496.25,12496.25,12496.25,12496.25,12551.429651225568,266.25,25.714285714285722,-20.23514720148887,-8.187141290039552,-12.04800591144932,12614.395390656315,12378.104609343685,12496.25,236.2907813126294,27.74152552299295,27.783341532550892,27.657893503877062,-67.5,-11.67560014011932,100.00000000000001,7003.0,2785,0.0,0.0,0.0,
2007-08-07,12507.0,12507.0,12507.0,12507.0,12551.29349396599,263.0,43.47826086956522,-17.697794299327143,-10.08927189189707,-7.608522407430073,12620.0486620885,12393.9513379115,12507.0,226.0973241770007,32.38323923755085,29.31664076755088,38.5164361775508,-58.333333333333336,17.88374098077366,100.0,6379.8,6672,0.0,0.0,0.0,
2007-08-08,12494.0,12508.333333333334,12508.333333333334,12508.333333333334,12547.836970731134,240.83333333333334,37.73584905660377,-18.30017827285519,-11.731453168088695,-6.5687251047664965,12609.657894357139,12407.00877230953,12508.333333333334,202.64912204760913,33.53327060281168,30.722184045971147,39.155443716492755,-64.16666666666667,-5.1058621719021176,86.79245283018867,5667.333333333333,4567,0.0,0.0,0.0,
2007-08-09,12520.0,12518.57142857143,12518.57142857143,12518.57142857143,12550.900116375788,224.28571428571428,50.0,-13.378397303136808,-12.060841995098318,-1.3175553080384894,12625.765067330807,12411.377789812052,12518.57142857143,214.38727751875558,37.91106929076334,33.11847912756855,47.49624961715293,-53.333333333333336,42.049676479665756,100.0,5088.571428571428,6183,0.0,0.0,0.0,
2007-08-10,12582.0,12550.0,12550.0,12550.0,12571.766771959046,225.625,68.26923076923077,5.786854423033219,-8.491302711472011,14.27815713450523,12753.610271983373,12346.389728016627,12550.0,407.220543966745,51.38515730495334,39.20737185336348,75.74072820813305,-21.666666666666668,85.91579032311529,100.0,4821.0,9131,0.0,0.0,0.0,
2007-08-13,12623.0,12566.666666666666,12566.666666666666,12566.666666666666,12583.979460343899,226.11111111111111,60.16949152542372,15.152372391707104,-3.7625676908361885,18.914940082543293,12781.782914309655,12351.550419023677,12566.666666666666,430.2324952859781,56.47899375885778,44.96457915519491,79.50782296618354,-33.333333333333336,74.20579782787264,88.13559322033898,4805.0,4454,0.0,0.0,0.0,
2007-08-14,12650.0,12578.5,12578.5,12578.5,12593.600464120671,215.5,58.67768595041322,21.120771114834497,1.2141000702979485,19.906671044536548,12794.681508100124,12362.318491899876,12578.5,432.36301620024824,60.98599583923852,50.305051383209445,82.34788475129668,-35.833333333333336,58.36052680077424,85.95041322314049,4520.3,2496,0.0,0.0,0.0,
2007-08-15,12653.0,12573.5,12574.09090909091,12574.09090909091,12587.54327706156,210.45454545454547,46.71052631578947,13.191502067544207,3.6095804697472005,9.581921597797006,12781.253559287232,12366.928258894588,12574.09090909091,414.32530039264384,54.59672449888629,51.73560908843506,60.31895531978874,-61.666666666666664,-1.6990636018513003,68.42105263157895,4307.636363636364,315,0.0,0.0,0.0,
2007-08-16,12650.0,12585.0,12573.333333333334,12573.333333333334,12585.396298293792,199.58333333333334,49.056603773584904,9.620804072459578,4.811825190289676,4.808978882169901,12770.924892470925,12375.741774195743,12573.333333333334,395.1831182751812,48.140240575015106,50.53715291729508,43.34641589045516,-55.833333333333336,-9.429181461553144,71.8575604570821,4106.583333333333,2210,0.0,0.0,0.0,
2007-08-17,12599.0,12590.5,12568.846153846154,12568.846153846154,12578.691888932479,192.69230769230768,46.15384615384615,2.725005881751713,4.394461328582084,-1.669455446830371,12760.772956132592,12376.919351559716,12568.846153846154,383.85360457287607,39.45783480194805,46.84404687884607,24.685410648152015,-64.16666666666667,-15.583939261173015,67.6056338028169,3940.6153846153848,261,0.0,0.0,0.0,
