时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2013-10-21,977.0,977.0,977.0,977.0,977.0,22.0,0.0,0.0,0.0,0.0,977.0,977.0,977.0,0.0,68.18181818181819,68.18181818181819,68.18181818181819,-31.818181818181817,0.0,0.0,150409.0,0,32521.0,0.0,0.0
2013-10-22,973.0,973.0,973.0,973.0,976.2380952380952,19.5,0.0,-0.6381766381765601,-0.12763532763531202,-0.5105413105412481,984.3137084989847,961.6862915010153,973.0,22.627416997969476,57.95454545454545,64.77272727272728,44.31818181818181,-62.5,-35.35533905932738,0.0,99062.5,-47716,33293.0,1544.0,4.747701485194189
2013-10-23,964.6666666666666,964.6666666666666,964.6666666666666,964.6666666666666,973.548752834467,20.0,0.0,-2.8061135867402527,-0.6633309794563002,-2.1427826072839524,994.6221892515479,934.7111440817854,964.6666666666666,59.911045169762474,38.63636363636364,56.06060606060607,3.787878787878782,-100.0,-55.59058207410698,0.0,81257.66666666667,-93364,34862.666666666664,3937.0,11.557316894172898
2013-10-24,958.25,958.25,958.25,958.25,970.2583954216607,19.25,0.0,-5.190609901578114,-1.568786763880663,-3.621823137697451,993.7041958024716,922.7958041975284,958.25,70.90839160494329,27.840909090909093,46.654040404040416,-9.78535353535355,-93.75,-60.1432545393798,0.0,75504.5,-151609,36292.25,2579.0,6.786484921846214
2013-10-25,951.8,951.8,951.8,951.8,966.0433101434072,20.0,0.0,-8.036689807487278,-2.862367372601986,-5.174322434885292,993.9283752357006,909.6716247642993,951.8,84.25675047140135,23.46256684491979,38.923549217666874,-7.459397900574373,-85.29411764705883,-68.36304605266173,0.0,77306.4,-236123,37821.0,3355.0,8.26741578571253
2013-10-28,940.0,946.1666666666666,946.1666666666666,946.1666666666666,961.4677567964161,19.833333333333332,0.0,-10.813114921148326,-4.452516882311254,-6.360598038837072,992.8728404198939,899.4604929134393,946.1666666666666,93.41234750645458,16.622103386809275,31.48973394071434,-13.113157721000853,-97.05882352941177,-58.700218076080105,0.0,73093.66666666667,-288153,38723.5,-700.0,-1.5932265112891475
2013-10-29,930.8,942.8571428571429,942.8571428571429,942.8571428571429,957.8041609110431,18.571428571428573,7.8125,-12.466289982607577,-6.05527150237052,-6.411018480237058,988.9502163993945,896.7640693148912,942.8571428571429,92.18614708450332,14.512774806892459,25.830747562773716,-8.123170704870056,-89.70588235294117,-51.173833337814756,100.0,68636.71428571429,-246258,39868.71428571428,3504.0,8.104357479877876
2013-10-30,925.4,940.125,940.125,940.125,954.299002729039,17.75,7.575757575757578,-13.778990785943279,-7.600015359085072,-6.178975426858207,985.5114359850888,894.7385640149112,940.125,90.77287197017768,13.431051749195912,21.697515624914452,-3.1018760022411698,-88.73239436619718,-50.21781047405536,96.96969696969698,66674.375,-299196,41076.25,2789.0,5.967051775780918
2013-10-31,922.4,938.3333333333334,938.3333333333334,938.3333333333334,951.4133834215115,17.333333333333332,11.59420289855072,-14.4111183009677,-8.962235947461599,-5.448882353506102,982.1283102142497,894.538356452417,938.3333333333334,87.5899537618327,14.118353748290232,19.17112833270638,4.012804579457935,-84.50704225352112,-38.08131313091688,100.00000000000001,65836.77777777778,-240060,41582.333333333336,-3898.0,-7.870136687597162
2013-11-01,921.6,936.7,936.7,936.7,948.6121088099391,16.3,11.267605633802816,-14.901689792215166,-10.150126716412313,-4.751563075802853,979.2628946384053,894.1371053615948,936.7,85.12578927681056,14.099735832193488,17.48066416586875,7.337879164842967,-87.32394366197182,-35.89922068150466,97.18309859154934,62986.7,-277396,41665.1,-3221.0,-7.058797747145585
