时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,index,symbol,date,turnover,settle,pre_settle,variety
2007-03-27,28600.0,29600.0,28580.0,29220,10803,0,,,,29220.0,29220.0,29220.0,29220.0,29220.0,1020.0,0.0,0.0,0.0,0.0,29220.0,29220.0,29220.0,0.0,62.745098039215684,62.745098039215684,62.74509803921568,-37.254901960784316,0.0,0.0,10803.0,0,0.0,0.0,0.0,,,,,,,
2007-03-28,29550.0,29870.0,29500.0,29725,8599,0,,,,29472.5,29472.5,29472.5,29472.5,29268.09523809524,835.0,99.9999999999604,40.28490028489978,8.056980056979956,32.227920227919824,30186.677848998414,28758.322151001586,29472.5,1428.355697996827,71.41662866697065,65.63560824846734,82.97866950397727,-11.24031007751938,35.35533905932738,100.0,9701.0,8599,0.0,0.0,0.0,,,,,,,
2007-03-29,29495.0,29700.0,29420.0,29565,4513,0,,,,29503.333333333332,29503.333333333332,29503.333333333332,29503.333333333332,29296.371882086172,658.3333333333334,75.93984962406014,58.62452415158987,18.17048887590194,40.45403527568793,30019.50513935661,28987.161527310054,29503.333333333332,1032.3436120465558,73.06328216040939,68.11149955244801,82.96684737633214,-23.643410852713178,16.490629281055877,75.93984962409021,7971.666666666667,4086,0.0,0.0,0.0,,,,,,,
2007-03-30,29510.0,29560.0,29010.0,29030,4595,0,,,,29385.0,29385.0,29385.0,29385.0,29271.0031314113,632.5,42.08333333333333,29.647026905815437,20.465796481884638,9.1812304239308,30018.77177806105,28751.22822193895,29385.0,1267.543556122102,60.33676175035045,65.51992028508215,49.970444680887056,-65.11627906976744,-36.11126589846178,42.08333333335,7127.5,-509,0.0,0.0,0.0,,,,,,,
2007-04-02,29430.0,29500.0,29180.0,29390,7070,0,,,,29386.0,29386.0,29386.0,29386.0,29282.336166514986,600.0,55.448717948717956,35.323950409485406,23.437427267404793,11.886523142080613,29934.88067920086,28837.11932079914,29386.0,1097.7613584017236,61.1547403917065,64.0648603206236,55.3345005338723,-37.2093023255814,-6.9866038036617875,55.44871794873992,7116.0,6561,0.0,0.0,0.0,,,,,,,
2007-04-03,29390.0,29445.0,29250.0,29290,3023,0,,,,29400.0,29370.0,29370.0,29370.0,29283.06605541832,532.5,52.10843373493976,31.391922380633332,25.028326290050504,6.363596090582828,29867.151888259512,28872.848111740488,29370.0,994.3037765190238,59.1160801577785,62.41526693300857,52.51770660731836,-44.96124031007752,-11.959399702588797,52.1084337349604,6433.833333333333,3538,0.0,0.0,0.0,,,,,,,
2007-04-04,28935.0,28980.0,28660.0,28780,6371,0,,,,29211.0,29285.714285714286,29285.714285714286,29285.714285714286,29235.155002521336,546.4285714285714,39.86175115207374,-12.730229748871352,17.476615082266132,-30.206844831137484,29922.016849264797,28649.411722163775,29285.714285714286,1272.605127101022,44.578678761516414,56.46973754251118,20.796561199526877,-84.49612403100775,-84.05111547008416,39.861751152089525,6424.857142857143,-2833,0.0,0.0,0.0,,,,,,,
2007-04-05,29250.0,29260.0,28980.0,28985,4615,0,,,,29095.0,29248.125,29248.125,29248.125,29211.330716566925,538.125,45.05263157894737,-30.800517260609922,7.821188613690922,-38.621705874300844,29874.427927617984,28621.822072382016,29248.125,1252.6058552359682,40.18423545341405,51.04123684614547,18.470232667951194,-68.6046511627907,-34.60353060908951,45.05263157896521,6198.625,1782,0.0,0.0,0.0,,,,,,,
2007-04-06,29700.0,30245.0,29540.0,30245,9902,0,,,,29338.0,29358.88888888889,29358.88888888889,29358.88888888889,29309.77541022722,618.3333333333334,64.09903713892709,55.9056736320199,17.43808561735672,38.46758801466318,30244.83157577357,28472.946202004212,29358.88888888889,1771.885373769357,60.122823635609365,54.06843244263344,72.23160602156122,-0.0,91.10841213555098,64.09903713895247,6610.111111111111,11684,0.0,0.0,0.0,,,,,,,
2007-04-09,30245.0,31515.0,30105.0,31385,31450,0,,,,29737.0,29561.5,29561.5,29561.5,29507.415847348435,697.5,72.67015706806282,214.14094372018735,56.77865723792285,157.3622864822645,31091.119052066377,28031.880947933623,29561.5,3059.2381041327535,71.89741073664092,60.011425207302594,95.66938179531758,-4.429301533219761,119.17659974370535,72.6701570680916,9094.1,43134,0.0,0.0,0.0,,,,,,,
2007-04-10,31550.0,32195.0,31550.0,32195,17041,0,,,,30318.0,29859.0,29800.909090909092,29800.909090909092,29763.376242839062,707.7272727272727,76.6338406445837,400.2894779064118,125.48082137162065,274.8086565347911,31952.11720813912,27649.700973679064,29800.909090909092,4302.416234460055,81.26494049109394,67.0959303018997,109.60296086948242,-0.0,117.96823681567754,76.63384064461405,9816.545454545454,60175,0.0,0.0,0.0,,,,,,,
2007-04-11,32850.0,33865.0,31980.0,32745,66499,0,,,,31111.0,30161.0,30046.25,30046.25,30047.34041018772,805.8333333333334,78.72860635696821,585.4452869935521,217.47371449600695,367.9715724975452,32710.123205418276,27382.376794581724,30046.25,5327.746410836553,80.33736986950291,71.50974349110076,97.9926226263072,-21.192052980132452,112.05212899662551,78.72860635699939,14540.083333333334,126674,0.0,0.0,0.0,,,,,,,
2007-04-12,32800.0,32990.0,32020.0,32395,59072,0,,,,31793.0,30444.0,30226.923076923078,30226.923076923078,30270.92703778889,818.4615384615385,74.47956823438705,695.9184105006425,313.16265369693406,382.75575680370844,33090.8875158944,27362.958637951757,30226.923076923078,5727.928877942642,77.47755493701732,73.49901397307295,85.43463686490605,-27.814569536423843,81.26380019228809,74.47956823441655,17965.615384615383,67602,0.0,0.0,0.0,,,,,,,
2007-04-13,32535.0,33220.0,32370.0,32955,57069,0,,,,32335.0,30836.5,30421.785714285714,30421.785714285714,30526.553034189947,820.7142857142857,76.50816181689142,819.2130980289876,414.3727425633448,404.8403554656428,33535.90642520843,27307.665003363,30421.785714285714,6228.241421845429,79.15730687764011,75.38511160792868,86.70169741706297,-17.218543046357617,81.05793973173702,76.50816181692171,20758.714285714286,124671,0.0,0.0,0.0,,,,,,,
2007-04-16,32000.0,32265.0,31600.0,31720,29904,0,,,,32402.0,31069.5,30508.333333333332,30508.333333333332,30640.214649981383,844.6428571428571,65.09661835748793,807.9572196192348,493.0896379745228,314.867581644712,33583.147303703074,27433.519362963587,30508.333333333332,6149.627940739487,72.36807970517026,74.3794343070092,68.34537050149237,-41.210374639769455,45.59282995079519,41.96142669408801,21368.4,94767,0.0,0.0,0.0,,,,,,,
