时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2006-01-10,5300,5350,5070,5096,69319,0,,,,5096.0,5096.0,5096.0,5096.0,5096.0,280.0,0.0,0.0,0.0,0.0,5096.0,5096.0,5096.0,0.0,9.285714285714286,9.285714285714286,9.285714285714288,-90.71428571428571,0.0,0.0,69319.0,0,0.0,0.0,0.0,
2006-01-11,5072,5108,5050,5086,41396,0,,,,5091.0,5091.0,5091.0,5091.0,5095.047619047619,169.0,0.0,-0.7977207977210128,-0.15954415954420256,-0.6381766381768103,5105.142135623731,5076.857864376269,5091.0,28.28427124746122,10.19047619047619,9.587301587301587,11.396825396825395,-88.0,-35.35533905932721,0.0,55357.5,-41396,0.0,0.0,0.0,
2006-01-12,5072,5094,5060,5080,35393,0,,,,5087.333333333333,5087.333333333333,5087.333333333333,5087.333333333333,5093.614512471656,124.0,0.0,-1.8922573680411006,-0.5060868012435822,-1.3861705667975184,5103.499140870642,5071.167525796024,5087.333333333333,32.33161507461773,10.126984126984127,9.767195767195766,10.846560846560848,-90.0,-30.415874596912325,0.0,48702.666666666664,-76789,0.0,0.0,0.0,
2006-01-13,5070,5094,5066,5086,39811,0,,,,5087.0,5087.0,5087.0,5087.0,5092.889320807689,100.0,27.272727272727266,-2.249603599853799,-0.8547901609656257,-1.3948134388881734,5100.266499161421,5073.733500838579,5087.0,26.532998322842104,10.75132275132275,10.095238095238095,12.063492063492063,-88.0,-23.28396786800075,100.0,46479.75,-36978,0.0,0.0,0.0,
2006-01-16,5080,5080,5032,5036,33430,0,,,,5076.8,5076.8,5076.8,5076.8,5087.471290254576,90.8,8.333333333333329,-6.492543199138709,-1.9823407686002423,-4.510202430538467,5123.840408161494,5029.759591838506,5076.8,94.08081632298854,7.586835712621876,9.259103967699357,4.2422992024669135,-98.74213836477988,-46.50595267641346,30.555555555555543,43869.8,-70408,0.0,0.0,0.0,
2006-01-17,5056,5076,5038,5058,39227,0,,,,5069.2,5073.666666666667,5073.666666666667,5073.666666666667,5084.664500706521,82.33333333333333,29.787234042553195,-7.987808774656514,-3.183434369811497,-4.804374404845017,5118.453569514114,5028.87976381922,5073.666666666667,89.57380569489396,7.783257351391523,8.767155095596745,5.815461862981078,-91.82389937106919,-33.365519468611666,100.0,43096.0,-31181,0.0,0.0,0.0,
2006-01-18,5058,5066,5030,5030,33401,0,,,,5058.0,5067.428571428572,5067.428571428572,5067.428571428572,5079.45835778209,75.71428571428571,22.950819672131146,-11.301902216731833,-4.807127939195565,-6.494774277536267,5119.9751494060465,5014.881993451097,5067.428571428572,105.0931559549499,5.1888382342610155,7.5743828084848355,0.4177490858133748,-100.0,-43.971863352496854,77.04918032786884,41711.0,-64582,0.0,0.0,0.0,
2006-01-19,5008,5058,5008,5028,40041,0,,,,5047.6,5062.5,5062.5,5062.5,5074.557561802844,72.5,22.58064516129032,-13.929161725858648,-6.631534696528183,-7.2976270293304655,5118.571383075505,5006.428616924495,5062.5,112.14276615100971,5.408543228298766,6.852436281756146,2.5207571213840048,-94.15204678362574,-48.82539444800498,75.80645161290322,41502.25,-104623,0.0,0.0,0.0,
2006-01-20,5036,5104,5036,5092,46943,0,,,,5048.8,5065.777777777777,5065.777777777777,5065.777777777777,5076.2187463930495,72.88888888888889,48.93617021276596,-10.723405936989366,-7.44990894462042,-3.273496992368946,5121.793648544711,5009.761907010844,5065.777777777777,112.0317415338668,11.792829988456486,8.499234183989593,18.380021597390268,-75.43859649122807,3.428988461109425,100.0,42106.77777777778,-57680,0.0,0.0,0.0,
2006-01-23,5080,5148,5060,5098,47657,0,,,,5061.2,5069.0,5069.0,5069.0,5078.293151498473,74.4,50.51546391752578,-7.6109373737781425,-7.482114630451965,-0.12882274332617794,5125.607812574277,5012.392187425723,5069.0,113.21562514855395,29.29045808754242,15.429642151840532,57.01208995894619,-73.6842105263158,31.181045974019156,100.0,42661.8,-10023,0.0,0.0,0.0,
