时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2011-04-18,2425.0,2425.0,2425.0,2425.0,2425.0,75.0,0.0,0.0,0.0,0.0,2425.0,2425.0,2425.0,0.0,29.333333333333332,29.333333333333332,29.333333333333336,-70.66666666666667,0.0,0.0,28567.0,0,0.0,0.0,0.0
2011-04-19,2492.0,2492.0,2492.0,2492.0,2437.761904761905,115.0,99.99999999985074,10.689458689458206,2.1378917378916413,8.551566951566565,2681.504617357995,2302.495382642005,2492.0,379.0092347159898,51.4573960463531,36.70802090433992,80.95614633037945,-4.294478527607362,35.35533905932727,100.00000000000001,47459.0,66351,0.0,0.0,0.0
2011-04-20,2499.3333333333335,2499.3333333333335,2499.3333333333335,2499.3333333333335,2445.022675736962,98.0,74.86033519553072,15.352829928328447,4.780879375979003,10.571950552349444,2635.7200384527596,2362.9466282139074,2499.3333333333335,272.7734102388522,57.00431720063622,43.47345300310535,84.06604559569797,-31.901840490797547,35.16990473363293,74.86033519564246,65716.33333333333,-35880,0.0,0.0,0.0
2011-04-21,2504.75,2504.75,2504.75,2504.75,2452.2586113810607,90.25,75.80645161290323,19.389911896920694,7.702685880167342,11.687226016753351,2618.197491525081,2391.302508474919,2504.75,226.8949830501624,61.140133035718264,49.36234634730965,84.69570641253549,-30.58823529411765,35.6636725757029,75.80645161301638,71225.5,51873,0.0,0.0,0.0
2011-04-22,2506.6,2506.6,2506.6,2506.6,2458.1387436304835,80.2,73.05699481865284,21.773495639869907,10.516847832107857,11.25664780776205,2605.1961459693025,2408.0038540306973,2506.6,197.1922919386052,62.52479457283178,53.74982908915037,80.0747255401946,-34.705882352941174,17.50013651810048,73.05699481876188,66738.0,3085,0.0,0.0,0.0
2011-04-25,2523.2,2506.8333333333335,2506.8333333333335,2506.8333333333335,2462.8874347132946,75.83333333333333,70.85427135678393,22.914212297281665,12.996320725142617,9.917891572139048,2595.0278153980676,2418.6388512685994,2506.8333333333335,176.38896412946815,62.271431676005506,56.59036328476874,73.63356845847903,-38.23529411764706,-0.9406209847325336,70.85427135688968,66299.83333333333,-61024,0.0,0.0,0.0
2011-04-26,2512.8,2506.8571428571427,2506.8571428571427,2506.8571428571427,2467.0886314072663,71.0,70.5,23.467033469928992,15.090463274099893,8.3765701958291,2587.367420225344,2426.346865488941,2506.8571428571427,161.02055473640303,61.90644464674877,58.362390405428755,68.9945531293888,-38.8235294117647,10.988027164119133,70.50000000010523,61468.0,-93501,0.0,0.0,0.0
2011-04-27,2510.0,2506.0,2506.0,2506.0,2470.223047463717,65.375,68.1159420289855,23.074320332032585,16.687234685686434,6.387085646346151,2580.6955726360575,2431.3044273639425,2506.0,149.39114527211495,60.290570940969765,59.00511725060909,62.86147832169112,-42.94117647058823,-14.235971151249018,68.11594202908717,56555.5,-115669,0.0,0.0,0.0
2011-04-28,2505.4,2505.1111111111113,2505.1111111111113,2505.1111111111113,2472.868471514792,60.77777777777778,67.46411483253588,22.344139721634292,17.818615692876005,4.525524028758287,2575.185674573501,2435.036547648722,2505.1111111111113,140.149126924779,58.82116494103867,58.94379981408561,58.57589519494479,-44.11764705882353,-3.0707386554512053,67.46411483263658,52051.444444444445,-131688,0.0,0.0,0.0
2011-04-29,2505.6,2506.1,2506.1,2506.1,2476.880998037193,57.4,69.91150442477877,22.87355218104767,18.829602990510338,4.043949190537333,2572.462305230873,2439.737694769127,2506.1,132.72461046174612,60.61328691542495,59.500295514532056,62.839269717210726,-34.11764705882353,17.15009006576971,69.91150442488312,48160.6,-118545,0.0,0.0,0.0
